순위,곡명,vid1,dur1,vid2,dur2
21,Dance Monkey - Tones And I,FQRrFVZAbs0,3분 29초,gADgM89skZQ,3분 30초
22,어떻게 지내 (Prod. By VAN.C) - 오반,4-aFXBY8-IE,3분 54초,6cI99G4nmh4,3분 54초
23,오래된 노래 - 스탠딩 에그,bW3XExLBf7A,4분 33초,IM--pvJPre8,4분 32초
24,Memories - Maroon 5(Cover by. Blue.D),wLo3B9yF2tA,3분 5초,HX3wWoaT9hk,2분 46초
25,신난다 (Feat. 마마무) - 비룡,pnaEIJP7_k8,3분 33초,zipTw9bjNgk,3분 33초
26,사랑하게 될 줄 알았어 - 전미도,rOCymN-Rwiw,4분 27초,Bc3GsAtDdoU,4분 21초
27,METEOR - 창모 (CHANGMO),lOrU0MH0bMk,3분 33초,vjl_uRTeOfU,3분 19초
28,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey) - 방탄소년단,-mMc-3563Fw,4분,BIJVhH6kj_A,4분 23초
29,LINDA (Feat. 윤미래) - 린다G,LKPsNcuQcQY,4분 29초,NUKa5Py3owA,5분 2초
30,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) - 규현 (KYUHYUN),vIPug7A8Fds,4분 25초,qd9TWIAmKKo,3분 57초
31,Blueming - 아이유,D1PvIWdJ8xo,3분 42초,yqtCGojXEpM,4분 7초
32,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야 - 장범준,689GoEBjMhY,2분 49초,wlxuqcfV77A,3분 48초
33,Don't Start Now - Dua Lipa,8CLkVWB_Lj8,3분 24초,uzROWfAtTds,3분 4초
34,사랑은 지날수록 더욱 선명하게 남아 - 전상근,o6QeCDp2oyU,4분 25초,mW_KPsLbP3k,3분 49초
35,아무노래 - 지코 (ZICO),UuV2BmJ1p_I,4분 8초,AAOyOZ3GeZ0,3분 48초
36,처음처럼 - 엠씨더맥스 (M.C the MAX),cqzISZnLgCo,4분 29초,3XUe2PsadEk,4분 12초
37,Into the I-LAND - 아이유,QYNwbZHmh8g,3분 39초,evvILIzCur8,5분 11초
38,ON - 방탄소년단,6BibMYh3vhs,4분 26초,oFR7l1KLP9Y,3분 13초
39,어떻게 이별까지 사랑하겠어. 널 사랑하는 거지 - AKMU (악동뮤지션),mZz9uYdj_v4,4분 51초,m3DZsBw5bnE,4분 56초
40,2002 - Anne-Marie,Z1gPcoGiiR8,3분 11초,pZuvdZgooqA,3분 12초
41,거짓말이라도 해서 널 보고싶어 - 백지영,Lu3TvqaB8YQ,4분 25초,QE3Ma3wYZ28,4분 2초
42,늦은 밤 너의 집 앞 골목길에서 - 노을,3gaLOtoSs40,3분 38초,kFhf7pjRRjA,3분 36초
